timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742814400936,285,/home,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,30532,454,1,1,https://uat.canararobeco.com/,284,0,33
1742814400936,309,/home,200,OK,10.0.2.215-Thread Group Static pages 2025 1-1,text,true,,30532,454,1,1,https://uat.canararobeco.com/,309,0,56
1742814401010,251,/home,200,OK,10.0.2.182-Thread Group Static pages 2025 1-1,text,true,,30532,454,1,1,https://uat.canararobeco.com/,249,0,28
1742814400989,327,/home,200,OK,10.0.2.92-Thread Group Static pages 2025 1-1,text,true,,30532,454,1,1,https://uat.canararobeco.com/,327,0,157
1742814401262,83,/Investor_assets_home/css/bootstrap_home.css-9,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,8469,674,1,1,https://uat.canararobeco.com/Investor_assets_home/css/bootstrap_home.css?v=1742469976195,83,0,0
1742814401347,104,/Investor_assets_home/css/layout_home.css-10,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,61139,671,1,1,https://uat.canararobeco.com/Investor_assets_home/css/layout_home.css?v=1742469976195,101,0,0
1742814401452,92,/Investor_assets_home/css/homepage_home.css-12,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,20371,673,1,1,https://uat.canararobeco.com/Investor_assets_home/css/homepage_home.css?v=1742469976195,91,0,0
1742814401544,67,/Investor_assets_home/css/developer_home.css-13,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,20712,674,1,1,https://uat.canararobeco.com/Investor_assets_home/css/developer_home.css?v=1742469976195,66,0,0
1742814401611,63,/Investor-assets/js/jquery-3.6.0.min.js-14,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,35236,640,1,1,https://uat.canararobeco.com/Investor-assets/js/jquery-3.6.0.min.js?v=1742469977612,62,0,0
1742814401675,26,/Investor_assets_home/Js/vendor_home.js-15,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,56294,640,1,1,https://uat.canararobeco.com/Investor_assets_home/Js/vendor_home.js?v=1742469977612,24,0,0
1742814401701,66,/Investor_assets_home/Js/skrollr.min.js-16,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,10977,640,1,1,https://uat.canararobeco.com/Investor_assets_home/Js/skrollr.min.js?v=1742469977612,66,0,0
1742814401768,51,/Investor_assets_home/Js/home_new.js-17,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,5859,637,1,1,https://uat.canararobeco.com/Investor_assets_home/Js/home_new.js?v=1742469977612,51,0,0
1742814401820,60,/Investor_assets_home/Js/global_home.js-18,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,17937,640,2,2,https://uat.canararobeco.com/Investor_assets_home/Js/global_home.js?v=1742469977612,59,0,0
1742814401880,84,/Investor-assets/Custom/angular.min.js-19,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,66379,639,2,2,https://uat.canararobeco.com/Investor-assets/Custom/angular.min.js?v=1742469977612,82,0,0
